,n,AUROC,Recall (Sensitivity),Specificity
18-39,830.0,0.7253,0.0,0.9988
40-54,638.0,0.7721,0.2903,0.9077
55-69,878.0,0.7233,0.75,0.6043
70+,566.0,0.7386,0.976,0.1353
